HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
11h18m25s;;;1545.4;18.0;171;711;569;;;;82.60;82.0;3593658348000;6710;1.0;1.0;780.4;7.9;1.4;0.0;3593655654000;6355;1.0;1.0;793.7;7.9;1.4;0.0
11h18m26s;;;1545.3;18.1;171;711;577;;;;85.35;82.1;3593783327000;6710;1.0;1.0;779.8;7.9;1.4;0.0;3593780636000;6355;1.0;1.0;794.0;7.9;1.4;0.0
11h18m27s;;;1545.6;18.0;172;706;575;;;;84.25;83.2;3594866487000;6710;1.0;1.0;778.2;7.9;1.4;0.0;3594863785000;6355;1.0;1.0;791.8;7.9;1.4;0.0
11h18m28s;;;1546.1;18.0;172;717;566;;;;84.80;84.2;3595907983000;6710;1.0;1.0;776.4;7.9;1.4;0.0;3595905276000;6355;1.0;1.0;789.8;7.9;1.4;0.0
11h18m29s;;;1545.9;18.0;167;710;571;;;;83.15;85.3;3596949484000;6710;1.0;1.0;774.7;7.9;1.4;0.0;3596946771000;6414;1.0;1.0;788.1;7.9;1.4;0.0
11h18m30s;;;1545.8;18.0;168;698;570;;;;84.80;86.3;3597990982000;6710;1.0;1.0;773.2;7.9;1.4;0.0;3597988264000;6414;1.0;1.0;786.7;7.9;1.4;0.0
11h18m31s;;;1545.9;18.0;167;695;567;;;;84.80;87.4;3599032482000;6710;1.0;1.0;770.9;7.9;1.4;0.0;3599071413000;6414;1.0;1.0;784.6;7.9;1.4;0.0
11h18m32s;;;1545.2;18.0;172;703;562;;;;85.35;88.4;3600115640000;6784;1.0;1.0;768.7;7.9;1.4;0.0;3600112906000;6473;1.0;1.0;782.4;7.9;1.4;0.0
11h18m33s;;;1545.9;18.0;167;697;563;;;;83.70;89.5;3601157138000;6784;1.0;1.0;766.2;7.9;1.4;0.0;3601154398000;6473;1.0;1.0;779.8;7.9;1.4;0.0
11h18m34s;;;1545.9;18.0;169;694;560;;;;84.25;90.5;3602198638000;6784;1.0;1.0;764.0;7.9;1.4;0.0;3602195894000;6473;1.0;1.0;777.2;7.9;1.4;0.0
11h18m35s;;;1545.4;18.0;164;693;565;;;;83.70;91.6;3603240137000;6784;1.0;1.0;761.7;7.9;1.4;0.0;3603237384000;6532;1.0;1.0;774.8;7.9;1.4;0.0
11h18m35s;;;1545.8;18.1;164;693;561;;;;84.25;91.7;3603365122000;6843;1.0;1.0;761.3;7.9;1.4;0.0;3603404026000;6532;1.0;1.0;774.7;7.9;1.4;0.0
11h18m36s;;;1545.9;18.0;165;695;557;;;;83.70;92.8;3604448276000;6843;1.0;1.0;758.9;7.9;1.4;0.0;3604445517000;6532;1.0;1.0;772.2;7.9;1.4;0.0
11h18m37s;;;1546.1;18.0;168;681;556;;;;84.25;93.8;3605489774000;6843;1.0;1.0;756.7;7.9;1.4;0.0;3605487011000;6592;1.0;1.0;770.0;7.9;1.4;0.0
11h18m38s;;;1546.2;18.0;164;681;559;;;;85.35;94.9;3606531273000;6903;1.0;1.0;755.0;7.9;1.4;0.0;3606528501000;6592;1.0;1.0;767.9;7.9;1.4;0.0
11h18m39s;;;1545.8;18.0;163;680;550;;;;83.70;95.9;3607572774000;6903;1.0;1.0;753.2;7.9;1.4;0.0;3607569997000;6592;1.0;1.0;766.0;7.9;1.4;0.0
11h18m40s;;;1545.8;18.0;164;682;555;;;;85.35;97.0;3608614272000;6903;1.0;1.0;750.9;7.9;1.4;0.0;3608611487000;6651;1.0;1.0;764.3;7.9;1.4;0.0
11h18m41s;;;1545.8;18.0;163;679;552;;;;84.25;98.0;3609697432000;6962;1.0;1.0;748.6;7.9;1.4;0.0;3609694640000;6651;1.0;1.0;762.3;7.9;1.4;0.0
